Age,Years_of_Experience,Education_Level,Job_Role,City_Tier,Salary
21,0.0,Bachelor,Mid,Tier 2,889588.0
63,42.3,High School,Mid,Tier 1,633353.0
34,9.1,Bachelor,Manager,Tier 1,2601884.0
42,19.4,High School,Manager,Tier 1,2398373.0
33,10.1,High School,Junior,Tier 1,351300.0
30,6.7,Bachelor,Manager,Tier 1,2088110.0
39,16.4,Bachelor,Mid,Tier 1,857461.0
26,7.0,Master,Manager,Tier 1,2234103.0
33,9.3,High School,Junior,Tier 2,454494.0
47,26.9,High School,Mid,Tier 1,559951.0
41,15.6,Bachelor,Junior,Tier 3,652591.0
41,18.3,Bachelor,Mid,Tier 2,1355193.0
19,0.0,Bachelor,Junior,Tier 2,770559.0
46,25.2,High School,Mid,Tier 1,521667.0
43,22.4,High School,Mid,Tier 1,659399.0
55,34.6,Bachelor,Manager,Tier 2,2920227.0
46,23.3,Bachelor,Senior,Tier 1,1175035.0
30,7.1,High School,Junior,Tier 2,489450.0
21,0.7,Bachelor,Junior,Tier 2,585620.0
46,23.6,Bachelor,Mid,Tier 2,756340.0
41,16.4,High School,Junior,Tier 1,394136.0
69,44.7,High School,Mid,Tier 2,532583.0
50,26.2,High School,Mid,Tier 3,415713.0
20,0.0,Bachelor,Mid,Tier 1,826874.0
45,23.3,Bachelor,Junior,Tier 2,380437.0
23,2.4,Bachelor,Manager,Tier 1,2128166.0
24,1.1,Bachelor,Junior,Tier 2,512890.0
44,22.3,High School,Mid,Tier 2,1100343.0
31,10.3,Bachelor,Mid,Tier 2,933682.0
43,20.4,High School,Junior,Tier 2,232109.0
20,0.0,High School,Junior,Tier 1,320064.0
55,31.7,High School,Mid,Tier 2,1155282.0
24,1.3,Bachelor,Senior,Tier 3,1067949.0
59,36.2,Bachelor,Manager,Tier 2,1976478.0
49,24.6,High School,Junior,Tier 1,575406.0
33,12.0,Master,Lead,Tier 2,2035445.0
59,36.1,Bachelor,Mid,Tier 2,1240250.0
34,12.0,Master,Junior,Tier 3,572947.0
20,0.0,High School,Junior,Tier 3,754704.0
25,3.9,Bachelor,Manager,Tier 1,2181165.0
49,28.3,High School,Junior,Tier 2,386765.0
59,36.8,High School,Mid,Tier 1,1227196.0
20,0.0,High School,Mid,Tier 2,554549.0
33,10.8,Bachelor,Mid,Tier 2,791647.0
22,0.0,Bachelor,Mid,Tier 1,661559.0
58,33.1,High School,Junior,Tier 2,485079.0
52,27.4,High School,Mid,Tier 2,621840.0
36,12.0,High School,Junior,Tier 2,281259.0
41,19.8,High School,Senior,Tier 2,951258.0
28,4.2,High School,Mid,Tier 2,643851.0
19,0.0,Bachelor,Junior,Tier 2,463944.0
18,0.0,High School,Junior,Tier 2,348675.0
18,0.0,High School,Junior,Tier 2,473498.0
28,7.5,Bachelor,Mid,Tier 2,880889.0
29,5.1,Bachelor,Manager,Tier 1,2632930.0
40,17.6,Bachelor,Junior,Tier 3,661679.0
26,2.1,High School,Junior,Tier 1,540047.0
46,23.3,High School,Mid,Tier 1,756392.0
23,2.7,High School,Junior,Tier 2,450038.0
44,18.5,High School,Mid,Tier 3,491790.0
43,21.9,Bachelor,Mid,Tier 2,1456956.0
31,9.5,Bachelor,Lead,Tier 2,1457032.0
18,0.0,Bachelor,Mid,Tier 1,810781.0
19,0.0,Bachelor,Senior,Tier 1,974519.0
41,19.1,Bachelor,Senior,Tier 2,977980.0
41,17.9,High School,Junior,Tier 3,315833.0
69,47.5,High School,Mid,Tier 2,441003.0
48,26.0,PhD,Lead,Tier 2,2329590.0
28,9.2,High School,Lead,Tier 2,1176045.0
27,4.5,High School,Mid,Tier 1,1297952.0
41,17.0,Master,Lead,Tier 1,2087215.0
41,19.4,Bachelor,Mid,Tier 2,669668.0
24,2.4,High School,Mid,Tier 3,600382.0
42,22.7,PhD,Lead,Tier 2,2618991.0
57,36.7,High School,Mid,Tier 2,528947.0
30,8.7,Bachelor,Lead,Tier 1,1284133.0
36,16.9,High School,Mid,Tier 1,1072577.0
49,24.6,High School,Junior,Tier 3,296723.0
33,9.7,High School,Junior,Tier 3,321180.0
23,0.0,High School,Junior,Tier 2,676553.0
46,23.2,Master,Lead,Tier 1,1716009.0
18,0.0,Bachelor,Mid,Tier 1,712198.0
40,19.3,High School,Manager,Tier 3,2744842.0
43,20.6,High School,Manager,Tier 1,2433990.0
34,9.1,Master,Lead,Tier 3,1550650.0
47,23.0,High School,Manager,Tier 1,1843452.0
44,22.6,Bachelor,Manager,Tier 1,2173222.0
33,12.7,High School,Mid,Tier 3,1191603.0
55,37.0,Bachelor,Manager,Tier 1,2845879.0
19,1.0,High School,Mid,Tier 1,652080.0
28,6.8,Bachelor,Junior,Tier 3,659077.0
27,3.0,High School,Junior,Tier 3,182065.0
50,23.7,High School,Junior,Tier 1,196103.0
22,0.5,High School,Mid,Tier 1,400052.0
40,16.4,Bachelor,Mid,Tier 2,1306127.0
25,2.2,Bachelor,Mid,Tier 3,565338.0
26,2.8,High School,Mid,Tier 3,748838.0
22,0.0,Bachelor,Mid,Tier 3,726097.0
42,22.1,Bachelor,Junior,Tier 3,623841.0
38,16.3,Bachelor,Manager,Tier 1,1990927.0
55,32.7,High School,Junior,Tier 1,498976.0
32,7.9,High School,Mid,Tier 2,364189.0
22,0.0,High School,Mid,Tier 3,601633.0
29,6.0,Bachelor,Mid,Tier 2,810086.0
46,23.9,Master,Manager,Tier 1,2877700.0
31,12.5,Bachelor,Manager,Tier 2,2611878.0
58,36.3,PhD,Lead,Tier 1,2194680.0
42,22.0,High School,Mid,Tier 2,728855.0
18,0.0,High School,Junior,Tier 2,352927.0
58,33.6,High School,Manager,Tier 1,1863354.0
54,30.1,High School,Lead,Tier 2,2166305.0
34,10.5,Master,Lead,Tier 1,1611592.0
26,8.0,Bachelor,Mid,Tier 2,687731.0
61,37.4,High School,Manager,Tier 1,1860542.0
48,27.7,Master,Mid,Tier 3,977421.0
36,12.2,Bachelor,Manager,Tier 1,2558995.0
24,3.9,Bachelor,Junior,Tier 1,618905.0
40,18.8,Bachelor,Junior,Tier 3,682161.0
33,10.7,High School,Mid,Tier 1,1204405.0
37,14.9,Bachelor,Junior,Tier 1,1268539.0
34,10.7,Master,Manager,Tier 1,2191739.0
56,34.9,Bachelor,Manager,Tier 2,2567505.0
37,14.1,Bachelor,Manager,Tier 1,1872751.0
44,19.5,High School,Mid,Tier 2,633013.0
54,29.4,High School,Junior,Tier 1,443030.0
23,1.3,High School,Junior,Tier 2,532758.0
34,15.2,Bachelor,Junior,Tier 2,656195.0
22,0.3,High School,Junior,Tier 2,655584.0
33,10.8,Bachelor,Manager,Tier 1,2580276.0
39,17.6,Bachelor,Lead,Tier 1,2107709.0
47,27.6,Bachelor,Mid,Tier 3,667487.0
26,4.4,High School,Lead,Tier 3,1434108.0
31,8.2,Bachelor,Manager,Tier 1,1938771.0
44,24.2,Bachelor,Mid,Tier 1,867145.0
42,20.9,Master,Lead,Tier 1,2126615.0
19,0.1,High School,Junior,Tier 3,491981.0
27,5.4,High School,Junior,Tier 2,1144776.0
51,26.6,Bachelor,Senior,Tier 1,1463508.0
28,3.3,Bachelor,Manager,Tier 3,1903337.0
57,38.3,Bachelor,Mid,Tier 2,785689.0
45,26.4,Bachelor,Lead,Tier 1,1465415.0
50,27.6,Bachelor,Lead,Tier 3,2014940.0
34,11.2,Bachelor,Mid,Tier 2,713849.0
45,25.9,High School,Mid,Tier 2,497376.0
73,48.8,High School,Manager,Tier 1,1939728.0
34,10.2,Bachelor,Lead,Tier 2,1949269.0
31,10.3,Bachelor,Mid,Tier 2,1416432.0
19,0.0,High School,Mid,Tier 1,531074.0
25,3.0,Bachelor,Junior,Tier 3,514278.0
38,15.7,Bachelor,Mid,Tier 2,895893.0
39,17.7,Bachelor,Mid,Tier 2,864538.0
23,3.8,Bachelor,Senior,Tier 3,930372.0
49,27.2,High School,Junior,Tier 1,295250.0
33,12.3,High School,Junior,Tier 2,493340.0
21,0.0,High School,Junior,Tier 2,227937.0
31,8.9,Bachelor,Mid,Tier 2,924480.0
23,0.0,Bachelor,Manager,Tier 1,2073718.0
34,9.6,Bachelor,Mid,Tier 1,680614.0
25,1.2,High School,Junior,Tier 1,401259.0
39,16.3,High School,Mid,Tier 3,763330.0
52,31.8,High School,Mid,Tier 1,944265.0
63,38.3,High School,Mid,Tier 2,1323157.0
41,19.1,Bachelor,Mid,Tier 1,893346.0
46,23.0,Bachelor,Lead,Tier 2,2011492.0
53,30.3,High School,Manager,Tier 1,1891410.0
18,0.0,High School,Junior,Tier 3,416374.0
38,17.1,Master,Lead,Tier 2,1703024.0
55,35.7,Master,Manager,Tier 3,2127432.0
34,11.7,High School,Senior,Tier 2,1498259.0
80,56.6,High School,Junior,Tier 3,388014.0
34,11.6,Bachelor,Senior,Tier 3,1161461.0
52,30.5,Bachelor,Senior,Tier 1,1371051.0
42,20.4,High School,Junior,Tier 2,311935.0
26,1.8,Bachelor,Mid,Tier 2,759460.0
31,9.2,High School,Mid,Tier 2,508703.0
25,3.5,High School,Junior,Tier 3,341340.0
55,37.0,High School,Mid,Tier 2,500885.0
19,0.8,Bachelor,Junior,Tier 3,366342.0
62,38.3,Bachelor,Mid,Tier 2,891942.0
22,0.0,Bachelor,Mid,Tier 2,792729.0
35,10.1,High School,Junior,Tier 3,411145.0
28,4.8,High School,Mid,Tier 2,495125.0
47,25.6,High School,Mid,Tier 2,1236004.0
44,24.4,High School,Junior,Tier 3,261237.0
21,0.0,Bachelor,Mid,Tier 2,746729.0
35,11.7,Bachelor,Mid,Tier 1,805048.0
24,0.0,Bachelor,Lead,Tier 2,1984900.0
42,19.7,Bachelor,Lead,Tier 2,1359183.0
28,3.9,Bachelor,Senior,Tier 1,1005924.0
21,0.0,Bachelor,Junior,Tier 1,647778.0
62,38.2,Bachelor,Senior,Tier 3,1074195.0
39,16.8,High School,Junior,Tier 1,207170.0
30,4.5,High School,Junior,Tier 2,486815.0
72,47.1,Master,Lead,Tier 1,1665191.0
50,32.0,Bachelor,Manager,Tier 2,2087452.0
28,3.4,Master,Lead,Tier 1,1797474.0
29,4.8,Bachelor,Lead,Tier 2,1452860.0
26,7.7,Bachelor,Mid,Tier 3,801689.0
27,9.0,Master,Manager,Tier 2,2256330.0
29,4.7,Bachelor,Junior,Tier 2,1255290.0
29,6.3,High School,Mid,Tier 2,573256.0
31,9.7,High School,Mid,Tier 3,522619.0
25,6.5,High School,Manager,Tier 1,2069269.0
58,34.0,High School,Mid,Tier 3,1310561.0
64,41.5,Bachelor,Manager,Tier 1,2802980.0
46,25.6,Master,Manager,Tier 2,2249868.0
19,0.0,High School,Junior,Tier 1,202149.0
42,19.2,High School,Junior,Tier 2,437690.0
18,0.0,High School,Junior,Tier 3,404043.0
58,33.3,Bachelor,Mid,Tier 3,1512534.0
20,0.0,Bachelor,Senior,Tier 2,1207012.0
35,12.5,High School,Mid,Tier 1,1273537.0
32,10.5,High School,Junior,Tier 1,751241.0
23,0.0,High School,Junior,Tier 3,301022.0
31,9.9,Bachelor,Senior,Tier 1,1006286.0
33,13.0,Bachelor,Mid,Tier 2,731536.0
41,19.3,Bachelor,Junior,Tier 3,582025.0
22,0.7,High School,Junior,Tier 3,577625.0
46,24.1,Bachelor,Senior,Tier 1,1743511.0
61,39.0,Bachelor,Mid,Tier 3,639720.0
30,6.6,High School,Manager,Tier 2,1800560.0
42,20.6,High School,Manager,Tier 2,2412221.0
63,40.8,High School,Junior,Tier 2,385979.0
26,8.0,Bachelor,Mid,Tier 1,846666.0
42,23.1,High School,Mid,Tier 2,715682.0
23,1.8,Bachelor,Junior,Tier 3,504854.0
25,1.5,High School,Junior,Tier 2,396383.0
30,5.8,High School,Junior,Tier 3,1200902.0
23,3.4,High School,Mid,Tier 3,421817.0
34,12.5,Bachelor,Junior,Tier 2,1256556.0
30,9.0,High School,Junior,Tier 2,475594.0
39,13.5,Bachelor,Mid,Tier 2,1314403.0
30,9.9,High School,Junior,Tier 3,397786.0
38,16.9,Bachelor,Mid,Tier 2,800426.0
26,1.8,High School,Manager,Tier 1,1864654.0
20,0.0,Bachelor,Junior,Tier 3,473487.0
37,15.5,Bachelor,Lead,Tier 2,1364450.0
33,11.1,High School,Mid,Tier 3,823460.0
24,1.4,Bachelor,Mid,Tier 2,697165.0
42,19.8,Bachelor,Manager,Tier 2,2704162.0
51,28.5,High School,Mid,Tier 2,760230.0
56,34.3,Bachelor,Senior,Tier 3,1632120.0
22,2.9,Bachelor,Junior,Tier 3,554295.0
52,24.9,Bachelor,Junior,Tier 3,640329.0
44,21.5,Bachelor,Manager,Tier 1,2555748.0
34,12.4,High School,Mid,Tier 2,415626.0
51,29.6,Bachelor,Mid,Tier 3,1265327.0
19,0.0,Bachelor,Mid,Tier 1,957416.0
37,11.5,Bachelor,Manager,Tier 1,2580981.0
68,46.7,High School,Junior,Tier 2,1015678.0
22,3.5,Bachelor,Senior,Tier 2,890903.0
56,30.9,Bachelor,Manager,Tier 1,2211057.0
37,16.7,High School,Mid,Tier 2,563870.0
52,29.3,High School,Junior,Tier 1,345407.0
26,3.9,High School,Junior,Tier 3,383988.0
33,8.9,Master,Lead,Tier 2,1916564.0
45,22.3,Master,Lead,Tier 1,1655983.0
18,0.0,High School,Junior,Tier 3,381185.0
43,22.2,Bachelor,Junior,Tier 3,834062.0
64,45.5,PhD,Lead,Tier 1,2577359.0
18,0.0,High School,Junior,Tier 2,316613.0
57,35.9,High School,Mid,Tier 2,1097682.0
41,22.5,High School,Mid,Tier 1,511410.0
34,12.9,Master,Manager,Tier 1,2990803.0
19,0.0,High School,Mid,Tier 2,594940.0
44,21.4,High School,Junior,Tier 3,239853.0
56,34.1,High School,Junior,Tier 3,375504.0
36,12.6,High School,Junior,Tier 2,360216.0
48,28.0,Bachelor,Manager,Tier 3,2105145.0
29,4.6,High School,Mid,Tier 1,1153630.0
33,12.6,Bachelor,Mid,Tier 2,561685.0
31,8.6,High School,Junior,Tier 2,390101.0
39,19.3,Master,Lead,Tier 1,2200685.0
66,45.5,High School,Manager,Tier 2,2349581.0
27,8.6,Bachelor,Lead,Tier 2,1829791.0
39,18.5,High School,Manager,Tier 1,2533914.0
59,33.9,High School,Mid,Tier 2,1181323.0
26,3.9,High School,Junior,Tier 3,374178.0
31,6.7,Bachelor,Mid,Tier 3,839500.0
23,0.0,High School,Junior,Tier 3,180000.0
36,17.0,High School,Mid,Tier 1,607236.0
34,13.3,Bachelor,Junior,Tier 1,1229509.0
32,8.6,High School,Mid,Tier 1,1244082.0
37,13.0,Bachelor,Lead,Tier 1,1895062.0
33,11.1,Bachelor,Mid,Tier 1,678200.0
50,25.6,Master,Lead,Tier 1,2205824.0
32,8.7,Bachelor,Senior,Tier 2,860523.0
35,13.6,Bachelor,Mid,Tier 2,794565.0
37,17.3,High School,Mid,Tier 1,600384.0
44,23.2,Bachelor,Mid,Tier 3,702848.0
57,30.4,Bachelor,Junior,Tier 3,668263.0
29,7.6,Bachelor,Manager,Tier 1,1987362.0
55,33.1,High School,Mid,Tier 1,1392589.0
43,21.8,Master,Lead,Tier 2,2167729.0
43,24.2,Bachelor,Mid,Tier 3,680455.0
45,18.9,Bachelor,Mid,Tier 1,1269078.0
33,9.8,Master,Lead,Tier 1,1610930.0
26,5.2,High School,Junior,Tier 2,271542.0
23,0.0,Bachelor,Mid,Tier 2,809328.0
41,22.0,High School,Mid,Tier 3,551938.0
24,2.7,High School,Mid,Tier 2,549186.0
47,26.7,Bachelor,Mid,Tier 3,751004.0
34,10.9,High School,Mid,Tier 3,728062.0
40,19.6,High School,Manager,Tier 2,2434841.0
28,8.1,Bachelor,Lead,Tier 2,1472095.0
24,2.5,High School,Manager,Tier 3,1953316.0
23,1.5,High School,Mid,Tier 3,454819.0
43,21.5,High School,Manager,Tier 1,2562731.0
26,2.3,Bachelor,Senior,Tier 2,1147846.0
58,35.7,PhD,Manager,Tier 1,3115937.0
52,29.7,High School,Mid,Tier 3,466950.0
29,7.8,High School,Mid,Tier 2,1163836.0
47,27.0,High School,Junior,Tier 3,393478.0
49,24.9,High School,Mid,Tier 3,586651.0
40,17.7,High School,Mid,Tier 2,602318.0
62,43.0,High School,Mid,Tier 2,557207.0
49,25.5,High School,Manager,Tier 1,2544800.0
50,26.4,Bachelor,Lead,Tier 1,1758511.0
31,9.4,High School,Mid,Tier 2,678970.0
48,27.7,Master,Lead,Tier 1,1791626.0
24,2.0,High School,Mid,Tier 1,533634.0
37,17.7,High School,Junior,Tier 3,454283.0
45,24.7,Bachelor,Manager,Tier 1,2859180.0
36,15.7,Master,Manager,Tier 1,2211516.0
45,24.1,Bachelor,Manager,Tier 2,2086651.0
41,23.0,Bachelor,Mid,Tier 2,971004.0
26,3.6,Bachelor,Senior,Tier 2,1294371.0
17,0.0,High School,Mid,Tier 2,472708.0
27,8.2,High School,Junior,Tier 2,350621.0
43,20.1,High School,Junior,Tier 2,544731.0
35,13.2,High School,Mid,Tier 2,682154.0
38,18.6,Bachelor,Mid,Tier 2,834725.0
26,0.8,High School,Junior,Tier 1,180000.0
28,3.5,Bachelor,Manager,Tier 2,1815535.0
38,12.8,Bachelor,Lead,Tier 1,2264106.0
36,12.4,High School,Mid,Tier 2,692865.0
33,11.9,High School,Mid,Tier 1,1242437.0
19,0.0,High School,Junior,Tier 3,295925.0
42,20.6,High School,Mid,Tier 1,550201.0
50,25.2,High School,Mid,Tier 1,1268358.0
30,3.4,High School,Junior,Tier 1,234030.0
37,15.1,Bachelor,Lead,Tier 1,1365370.0
54,31.1,Master,Lead,Tier 2,2245048.0
52,30.9,Bachelor,Manager,Tier 1,2120769.0
65,44.4,High School,Junior,Tier 3,337234.0
33,11.3,High School,Mid,Tier 1,717872.0
25,4.5,Bachelor,Senior,Tier 3,1163973.0
24,2.5,Bachelor,Mid,Tier 2,542370.0
26,5.1,Bachelor,Mid,Tier 2,946556.0
39,15.6,High School,Mid,Tier 3,1339970.0
59,36.6,High School,Junior,Tier 3,424788.0
29,7.4,Bachelor,Mid,Tier 3,733524.0
47,26.6,High School,Junior,Tier 2,502221.0
64,41.2,High School,Mid,Tier 2,679046.0
21,0.0,High School,Junior,Tier 1,367414.0
32,9.5,Bachelor,Mid,Tier 2,1542753.0
26,3.8,High School,Manager,Tier 1,1647436.0
62,41.7,Master,Lead,Tier 1,1520213.0
32,6.0,Bachelor,Mid,Tier 3,1426233.0
45,20.4,High School,Manager,Tier 2,1923748.0
31,6.0,Bachelor,Manager,Tier 1,2748951.0
32,5.3,High School,Mid,Tier 1,432643.0
24,0.6,Bachelor,Mid,Tier 1,719467.0
25,4.5,Bachelor,Mid,Tier 3,888044.0
41,18.4,High School,Manager,Tier 1,1750755.0
18,0.0,Bachelor,Mid,Tier 2,721144.0
44,24.2,PhD,Lead,Tier 1,2358802.0
40,20.7,Bachelor,Manager,Tier 1,2108604.0
27,4.9,Bachelor,Lead,Tier 3,1497171.0
23,3.7,Bachelor,Mid,Tier 1,761652.0
21,0.0,Bachelor,Mid,Tier 2,715218.0
37,13.3,High School,Mid,Tier 2,607592.0
65,41.8,High School,Junior,Tier 2,392242.0
43,18.0,Master,Lead,Tier 3,2196104.0
45,21.2,High School,Mid,Tier 2,780836.0
24,1.3,Bachelor,Manager,Tier 1,1905729.0
24,3.6,Bachelor,Junior,Tier 1,593999.0
19,0.4,Bachelor,Senior,Tier 3,936946.0
37,12.2,Bachelor,Lead,Tier 1,2322099.0
24,2.8,High School,Mid,Tier 3,610689.0
34,9.9,Bachelor,Junior,Tier 1,397855.0
50,28.9,High School,Junior,Tier 3,372170.0
36,13.7,High School,Mid,Tier 1,424930.0
39,13.3,Bachelor,Mid,Tier 3,704012.0
44,23.9,High School,Mid,Tier 3,673890.0
45,21.8,High School,Junior,Tier 2,563349.0
32,8.9,High School,Senior,Tier 3,1029682.0
47,22.9,Master,Manager,Tier 2,2787415.0
50,26.7,High School,Junior,Tier 3,468407.0
32,10.9,Bachelor,Junior,Tier 2,647021.0
19,0.0,High School,Junior,Tier 3,669967.0
28,6.7,Master,Lead,Tier 3,1527523.0
28,6.7,High School,Mid,Tier 1,796127.0
39,19.6,Master,Lead,Tier 2,2068955.0
21,0.0,Bachelor,Junior,Tier 1,691592.0
73,48.0,Bachelor,Junior,Tier 2,528021.0
39,19.1,High School,Junior,Tier 2,317952.0
25,2.3,Bachelor,Junior,Tier 3,515842.0
31,11.2,Bachelor,Mid,Tier 2,656881.0
51,29.8,Bachelor,Mid,Tier 3,801127.0
39,16.7,Bachelor,Mid,Tier 2,897185.0
31,9.7,Bachelor,Junior,Tier 3,296613.0
21,2.9,Bachelor,Mid,Tier 2,729048.0
46,28.0,Bachelor,Manager,Tier 1,2534613.0
73,51.1,High School,Manager,Tier 1,2008610.0
41,19.3,High School,Mid,Tier 1,770448.0
20,0.2,High School,Mid,Tier 2,579043.0
27,3.3,Bachelor,Junior,Tier 2,465604.0
24,2.7,Bachelor,Lead,Tier 1,1256176.0
20,0.0,Bachelor,Mid,Tier 1,983855.0
39,17.6,Bachelor,Junior,Tier 3,708272.0
27,3.3,Bachelor,Junior,Tier 1,312579.0
33,7.8,High School,Mid,Tier 2,708657.0
33,6.9,High School,Junior,Tier 2,266544.0
36,11.8,High School,Mid,Tier 1,538977.0
55,32.1,Bachelor,Manager,Tier 2,1900183.0
19,0.0,Bachelor,Junior,Tier 3,309904.0
35,16.9,High School,Manager,Tier 1,1924530.0
34,14.2,High School,Junior,Tier 2,627449.0
62,38.1,Master,Lead,Tier 1,1488876.0
33,11.7,Bachelor,Mid,Tier 3,1456958.0
39,16.2,High School,Mid,Tier 3,748295.0
36,13.4,Bachelor,Senior,Tier 3,1136610.0
41,19.4,Bachelor,Mid,Tier 2,989575.0
39,18.2,High School,Mid,Tier 2,744625.0
18,0.0,High School,Mid,Tier 3,816559.0
61,41.1,Bachelor,Manager,Tier 3,2519852.0
20,0.0,Bachelor,Mid,Tier 3,839443.0
35,13.0,High School,Mid,Tier 1,1418808.0
27,9.0,High School,Junior,Tier 3,307360.0
66,44.4,High School,Junior,Tier 2,180000.0
21,1.9,High School,Mid,Tier 3,447920.0
20,0.0,Bachelor,Junior,Tier 1,463028.0
34,13.2,Bachelor,Mid,Tier 2,817342.0
63,40.9,High School,Junior,Tier 3,347028.0
31,8.7,High School,Senior,Tier 2,900374.0
41,17.4,PhD,Lead,Tier 1,1757480.0
64,42.9,High School,Junior,Tier 3,392075.0
32,8.3,Bachelor,Manager,Tier 1,2042053.0
30,9.3,High School,Mid,Tier 3,1139115.0
36,16.2,Bachelor,Junior,Tier 2,696551.0
22,0.7,Bachelor,Junior,Tier 2,715638.0
53,30.4,Bachelor,Manager,Tier 1,1927135.0
50,28.9,High School,Mid,Tier 3,626078.0
36,13.4,Bachelor,Manager,Tier 2,1878456.0
41,20.9,High School,Manager,Tier 1,1689673.0
55,29.3,Bachelor,Manager,Tier 2,2174385.0
38,15.3,Bachelor,Mid,Tier 3,1605889.0
28,2.0,Bachelor,Manager,Tier 3,2025596.0
24,0.0,Bachelor,Lead,Tier 1,1669996.0
60,40.7,Bachelor,Mid,Tier 3,672216.0
54,33.8,High School,Junior,Tier 3,371862.0
27,3.6,High School,Mid,Tier 3,830128.0
30,5.0,Master,Lead,Tier 3,1490480.0
54,26.1,High School,Mid,Tier 3,717501.0
44,20.9,Bachelor,Mid,Tier 3,1308207.0
52,34.0,High School,Mid,Tier 1,1143515.0
18,0.0,High School,Junior,Tier 3,338943.0
55,31.9,High School,Mid,Tier 3,354804.0
35,13.9,Bachelor,Lead,Tier 1,2216331.0
37,11.9,Bachelor,Manager,Tier 1,2677156.0
22,0.0,Bachelor,Mid,Tier 2,732240.0
45,23.2,Bachelor,Manager,Tier 2,2574347.0
38,15.8,Bachelor,Junior,Tier 1,617413.0
48,27.6,Bachelor,Lead,Tier 1,1556014.0
35,13.7,Bachelor,Junior,Tier 3,517055.0
21,0.3,Bachelor,Mid,Tier 3,880631.0
37,13.6,High School,Mid,Tier 2,1263012.0
18,0.0,High School,Mid,Tier 2,588794.0
26,7.3,High School,Junior,Tier 3,509484.0
48,24.1,Bachelor,Mid,Tier 2,704050.0
51,27.2,Bachelor,Mid,Tier 2,1199816.0
52,32.7,Bachelor,Mid,Tier 1,743629.0
32,9.6,Bachelor,Junior,Tier 3,1154233.0
39,19.8,Bachelor,Junior,Tier 2,553321.0
51,28.1,Bachelor,Lead,Tier 1,2192787.0
54,34.9,Bachelor,Mid,Tier 3,825059.0
21,0.0,Bachelor,Lead,Tier 1,1436192.0
43,21.5,High School,Mid,Tier 1,599339.0
32,13.1,Bachelor,Mid,Tier 3,759676.0
31,8.3,Master,Lead,Tier 1,2263126.0
26,2.1,Bachelor,Mid,Tier 3,786304.0
35,12.1,High School,Mid,Tier 1,581465.0
73,51.9,High School,Manager,Tier 1,2360896.0
25,0.0,Bachelor,Mid,Tier 1,664824.0
58,37.3,Bachelor,Junior,Tier 2,620740.0
32,8.9,High School,Junior,Tier 2,422561.0
28,8.3,Bachelor,Lead,Tier 2,1271760.0
41,14.2,Master,Mid,Tier 3,832570.0
53,29.4,High School,Mid,Tier 2,500430.0
